#ZVView-data-copy:  30-May-2023 22:13:24
#=======================================
#
#name:   47-AG-107(N,2N)47-AG-106-M,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  63
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
        0.0085       0.0005        1.346        0.075  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.6%   
         0.009        0.001         1.35            0  # 1982,R.L.Macklin         ## 12794002             
        0.0095       0.0005        1.352      0.06449  # 1982,M.Mizumoto+         ## 21814002  #dY:4.8%   
        0.0095       0.0005        1.299        0.071  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.5%   
         0.011        0.001        1.186     0.055861  # 1982,M.Mizumoto+         ## 21814002  #dY:4.7%   
         0.011        0.001        1.206        0.065  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.4%   
        0.0125       0.0025         1.13            0  # 1982,R.L.Macklin         ## 12794002             
         0.013        0.001        1.138     0.072035  # 1982,M.Mizumoto+         ## 21814002  #dY:6.3%   
         0.013        0.001        1.136        0.061  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.4%   
         0.015        0.001        1.068     0.067604  # 1982,M.Mizumoto+         ## 21814002  #dY:6.3%   
         0.015        0.001         1.07        0.058  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.4%   
         0.017        0.001        1.062     0.065313  # 1982,M.Mizumoto+         ## 21814002  #dY:6.1%   
         0.017        0.001         1.08        0.058  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.4%   
        0.0175       0.0025        1.067            0  # 1982,R.L.Macklin         ## 12794002             
         0.019        0.001        1.037     0.063776  # 1982,M.Mizumoto+         ## 21814002  #dY:6.2%   
         0.019        0.001         1.06        0.056  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.3%   
         0.021        0.001        0.972        0.052  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.3%   
        0.0225       0.0025        0.963     0.059513  # 1982,M.Mizumoto+         ## 21814002  #dY:6.2%   
         0.023        0.001        0.947        0.051  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.4%   
         0.025        0.005        0.914            0  # 1982,R.L.Macklin         ## 12794002             
         0.025        0.001         0.92         0.05  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.4%   
         0.027        0.001        0.891        0.048  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.4%   
        0.0275       0.0025        0.911       0.0563  # 1982,M.Mizumoto+         ## 21814002  #dY:6.2%   
          0.03        0.002        0.824        0.044  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.3%   
        0.0325       0.0025        0.825     0.050985  # 1982,M.Mizumoto+         ## 21814002  #dY:6.2%   
         0.034        0.002         0.84        0.045  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.4%   
         0.035        0.005        0.757            0  # 1982,R.L.Macklin         ## 12794002             
        0.0375       0.0025        0.762     0.047168  # 1982,M.Mizumoto+         ## 21814002  #dY:6.2%   
         0.038        0.002        0.741         0.04  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.4%   
         0.042        0.002        0.695        0.038  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.5%   
        0.0425       0.0025        0.683     0.042278  # 1982,M.Mizumoto+         ## 21814002  #dY:6.2%   
         0.046        0.002        0.708        0.038  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.4%   
        0.0475       0.0025        0.679     0.041487  # 1982,M.Mizumoto+         ## 21814002  #dY:6.1%   
          0.05         0.01        0.652            0  # 1982,R.L.Macklin         ## 12794002             
          0.05        0.002         0.66        0.036  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.5%   
         0.054        0.002        0.605        0.033  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.5%   
         0.055        0.005        0.593     0.036232  # 1982,M.Mizumoto+         ## 21814002  #dY:6.1%   
         0.058        0.002        0.603        0.033  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.5%   
         0.062        0.002        0.595        0.032  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.4%   
         0.065        0.005        0.554     0.033572  # 1982,M.Mizumoto+         ## 21814002  #dY:6.1%   
         0.066        0.002        0.572        0.031  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.4%   
          0.07         0.01        0.554            0  # 1982,R.L.Macklin         ## 12794002             
          0.07        0.002        0.561         0.03  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.3%   
         0.074        0.002        0.555         0.03  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.4%   
         0.075        0.005        0.525     0.031815  # 1982,M.Mizumoto+         ## 21814002  #dY:6.1%   
         0.078        0.002        0.535        0.029  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.4%   
         0.082        0.002        0.503        0.027  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.4%   
         0.085        0.005        0.484     0.029718  # 1982,M.Mizumoto+         ## 21814002  #dY:6.1%   
         0.086        0.002        0.502        0.027  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.4%   
          0.09         0.01        0.475            0  # 1982,R.L.Macklin         ## 12794002             
          0.09        0.002        0.492        0.027  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.5%   
         0.094        0.002        0.471        0.025  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.3%   
         0.095        0.005        0.451     0.027691  # 1982,M.Mizumoto+         ## 21814002  #dY:6.1%   
         0.098        0.002        0.459        0.025  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.4%   
         0.105        0.005        0.448        0.024  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.4%   
          0.11         0.01        0.403     0.024502  # 1982,M.Mizumoto+         ## 21814002  #dY:6.1%   
         0.115        0.005        0.418        0.023  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.5%   
         0.125        0.025        0.414            0  # 1982,R.L.Macklin         ## 12794002             
         0.125        0.005        0.405        0.022  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.4%   
          0.13         0.01        0.366     0.022399  # 1982,M.Mizumoto+         ## 21814002  #dY:6.1%   
         0.135        0.005         0.39        0.021  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.4%   
         0.145        0.005        0.373         0.02  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.4%   
          0.15         0.01        0.347     0.021236  # 1982,M.Mizumoto+         ## 21814002  #dY:6.1%   
         0.155        0.005        0.363         0.02  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.5%   
         0.165        0.005        0.347        0.019  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.5%   
          0.17         0.01        0.314     0.019562  # 1982,M.Mizumoto+         ## 21814002  #dY:6.2%   
         0.175        0.025        0.343            0  # 1982,R.L.Macklin         ## 12794002             
         0.175        0.005        0.339        0.018  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.3%   
         0.185        0.005         0.32        0.017  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.3%   
          0.19         0.01        0.292     0.018192  # 1982,M.Mizumoto+         ## 21814002  #dY:6.2%   
         0.195        0.005        0.326        0.018  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.5%   
         0.205        0.005        0.303        0.017  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.6%   
         0.215        0.005          0.3        0.017  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.7%   
         0.225        0.025        0.271     0.017127  # 1982,M.Mizumoto+         ## 21814002  #dY:6.3%   
         0.225        0.005        0.301        0.017  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.6%   
         0.235        0.005        0.302        0.017  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.6%   
         0.245        0.005        0.286        0.016  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.6%   
          0.25         0.05        0.294            0  # 1982,R.L.Macklin         ## 12794002             
         0.255        0.005         0.28        0.016  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.7%   
         0.265        0.005        0.275        0.016  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.8%   
         0.275        0.025        0.246     0.015744  # 1982,M.Mizumoto+         ## 21814002  #dY:6.4%   
         0.275        0.005        0.282        0.016  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.7%   
         0.285        0.005        0.278        0.016  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.8%   
         0.295        0.005        0.279        0.016  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.7%   
          0.31         0.01        0.268        0.015  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.6%   
         0.325        0.025         0.23     0.014973  # 1982,M.Mizumoto+         ## 21814002  #dY:6.5%   
          0.33         0.01        0.247         0.01  # 1987,M.V.Bokhovko+       ## 40967002  #dY:4.0%   
          0.35         0.05         0.23            0  # 1982,R.L.Macklin         ## 12794002             
          0.35         0.01        0.224        0.013  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.8%   
          0.37         0.01        0.213        0.012  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.6%   
         0.375        0.025        0.193     0.012564  # 1982,M.Mizumoto+         ## 21814002  #dY:6.5%   
          0.39         0.01        0.198        0.011  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.6%   
         0.425        0.025        0.177     0.011735  # 1982,M.Mizumoto+         ## 21814002  #dY:6.6%   
          0.45         0.05        0.173            0  # 1982,R.L.Macklin         ## 12794002             
         0.475        0.025        0.142    0.0094146  # 1982,M.Mizumoto+         ## 21814002  #dY:6.6%   
          0.55         0.05         0.14            0  # 1982,R.L.Macklin         ## 12794002             
          0.55         0.05        0.113    0.0077857  # 1982,M.Mizumoto+         ## 21814002  #dY:6.9%   
          0.65         0.05        0.129            0  # 1982,R.L.Macklin         ## 12794002             
          0.65         0.05        0.094    0.0067116  # 1982,M.Mizumoto+         ## 21814002  #dY:7.1%   
          0.75         0.05        0.126            0  # 1982,R.L.Macklin         ## 12794002             
          0.85         0.05         0.12            0  # 1982,R.L.Macklin         ## 12794002             
          0.95         0.05       0.1163       0.0017  # 1982,R.L.Macklin         ## 12794002  #dY:1.5%   
          1.05         0.05       0.1051       0.0018  # 1982,R.L.Macklin         ## 12794002  #dY:1.7%   
          1.15         0.05        0.106       0.0019  # 1982,R.L.Macklin         ## 12794002  #dY:1.8%   
          1.25         0.05       0.0958       0.0019  # 1982,R.L.Macklin         ## 12794002  #dY:2.0%   
          1.35         0.05         0.09       0.0021  # 1982,R.L.Macklin         ## 12794002  #dY:2.3%   
          1.45         0.05       0.0833       0.0022  # 1982,R.L.Macklin         ## 12794002  #dY:2.6%   
          1.55         0.05       0.0879       0.0025  # 1982,R.L.Macklin         ## 12794002  #dY:2.8%   
          1.65         0.05       0.0856       0.0027  # 1982,R.L.Macklin         ## 12794002  #dY:3.2%   
          1.75         0.05       0.0822       0.0028  # 1982,R.L.Macklin         ## 12794002  #dY:3.4%   
          1.85         0.05       0.0778        0.003  # 1982,R.L.Macklin         ## 12794002  #dY:3.9%   
          1.95         0.05       0.0861       0.0036  # 1982,R.L.Macklin         ## 12794002  #dY:4.2%   
//
#-------------------------------------------------------------------------------
#
#name:   47-AG-107(N,G)47-AG-108-M,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  3
#ldata:  2
#data...
#            X            Y         +-dY  # Comments...
#          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
       2.53e-8            0        0.477        0.033  # 1987,M.Gavrilas+         ## 13129002  #dY:6.9%   
       2.53e-8            0        0.366        0.065  # 1979,T.B.Ryves           ## 21625002  #dY:17.8%  
//
#-------------------------------------------------------------------------------
#
#name:   47-AG-107(N,3N)47-AG-105,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  4
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
         18.94        0.145        0.016        0.004  # 1968,H.Liskien           ## 20380004  #dY:25.0%  
         19.19        0.115        0.029        0.004  # 1968,H.Liskien           ## 20380004  #dY:13.8%  
         19.42          0.1        0.036        0.004  # 1968,H.Liskien           ## 20380004  #dY:11.1%  
          19.5          0.1        0.056        0.005  # 1968,H.Liskien           ## 20380004  #dY:8.9%   
