#ZVView-data-copy:  30-May-2023 21:07:10
#=======================================
#
#name:   63-EU-153(N,G)63-EU-154,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  1716
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
     1.8595e-8    2.073e-10       464.14        20.25  # 1975,F.Widder            ## 20437007  #dY:4.4%   
     1.9194e-8   2.1785e-10       454.87        20.17  # 1975,F.Widder            ## 20437007  #dY:4.4%   
       1.97e-8            0        413.4        22.95  # 2018,J.Lee+              ## 23416003  #dY:5.6%   
     1.9823e-8    2.291e-10       445.63        20.62  # 1975,F.Widder            ## 20437007  #dY:4.6%   
     2.0483e-8   2.4115e-10       436.43        19.52  # 1975,F.Widder            ## 20437007  #dY:4.5%   
     2.1177e-8   2.5405e-10       427.28         18.7  # 1975,F.Widder            ## 20437007  #dY:4.4%   
     2.1907e-8   2.6785e-10       418.17        17.48  # 1975,F.Widder            ## 20437007  #dY:4.2%   
     2.2675e-8    2.827e-10        409.1        16.54  # 1975,F.Widder            ## 20437007  #dY:4.0%   
     2.3484e-8    2.986e-10       400.07        15.57  # 1975,F.Widder            ## 20437007  #dY:3.9%   
     2.4337e-8    3.157e-10       391.08        14.31  # 1975,F.Widder            ## 20437007  #dY:3.7%   
     2.5238e-8    3.341e-10       382.15        14.24  # 1975,F.Widder            ## 20437007  #dY:3.7%   
       2.53e-8            0          639            7  # 1967,G.H.E.Sims+         ## 12090007  #dY:1.1%   
       2.53e-8            0          317            5  # 1960,R.B.Tattersall+     ## 20638052  #dY:1.6%   
       2.53e-8            0          603           23  # 1975,J.I.Kim+            ## 20657010  #dY:3.8%   
       2.53e-8            0          448           16  # 1958,N.J.Pattenden       ## 21325016  #dY:3.6%   
       2.53e-8            0          325            0  # 1977,M.Lucas+            ## 21563025             
       2.53e-8            0          312            3  # 2014,F.Farina Arbocco+   ## 23260115  #dY:1.0%   
       2.53e-8            0          312            0  # 2014,F.Farina Arbocco+   ## 23260116             
       2.53e-8            0          311            0  # 2014,F.Farina Arbocco+   ## 23260116             
       2.53e-8            0          306            0  # 2014,F.Farina Arbocco+   ## 23260116             
       2.53e-8            0          315            0  # 2014,F.Farina Arbocco+   ## 23260116             
       2.53e-8            0          313            0  # 2014,F.Farina Arbocco+   ## 23260116             
       2.53e-8            0          327            0  # 2014,F.Farina Arbocco+   ## 23260116             
       2.53e-8            0          312            0  # 2014,F.Farina Arbocco+   ## 23260116             
       2.53e-8            0          313            0  # 2014,F.Farina Arbocco+   ## 23260116             
       2.53e-8            0          311            0  # 2014,F.Farina Arbocco+   ## 23260116             
       2.53e-8            0          315            0  # 2014,F.Farina Arbocco+   ## 23260116             
       2.53e-8            0        358.1        19.71  # 2018,J.Lee+              ## 23416003  #dY:5.5%   
       2.53e-8            0          307        12.28  # 1988,F.De Corte+         ## 23488069  #dY:4.0%   
       2.53e-8            0          335           10  # 2014,M.S.Basunia+        ## 31751005  #dY:3.0%   
      2.619e-8    3.539e-10       373.25        13.81  # 1975,F.Widder            ## 20437007  #dY:3.7%   
     2.7196e-8    3.753e-10       364.41        13.64  # 1975,F.Widder            ## 20437007  #dY:3.7%   
     2.8262e-8   3.9845e-10        355.6        13.31  # 1975,F.Widder            ## 20437007  #dY:3.7%   
     2.9391e-8   4.2345e-10       346.85        13.24  # 1975,F.Widder            ## 20437007  #dY:3.8%   
      3.059e-8   4.5055e-10       338.13        12.72  # 1975,F.Widder            ## 20437007  #dY:3.8%   
     3.1863e-8   4.7995e-10       329.47        12.28  # 1975,F.Widder            ## 20437007  #dY:3.7%   
      3.248e-8            0        313.2        16.23  # 2018,J.Lee+              ## 23416003  #dY:5.2%   
     3.3218e-8     5.12e-10       320.86         10.6  # 1975,F.Widder            ## 20437007  #dY:3.3%   
     3.4661e-8     5.47e-10       312.29        10.75  # 1975,F.Widder            ## 20437007  #dY:3.4%   
     3.6199e-8    5.845e-10       303.78        10.04  # 1975,F.Widder            ## 20437007  #dY:3.3%   
     3.7843e-8    6.265e-10       295.32        9.066  # 1975,F.Widder            ## 20437007  #dY:3.1%   
     3.9601e-8    6.715e-10        286.9        8.213  # 1975,F.Widder            ## 20437007  #dY:2.9%   
     4.1485e-8    7.215e-10       278.54        7.842  # 1975,F.Widder            ## 20437007  #dY:2.8%   
       4.17e-8            0          269        13.65  # 2018,J.Lee+              ## 23416003  #dY:5.1%   
     4.3507e-8    7.765e-10       270.23        7.388  # 1975,F.Widder            ## 20437007  #dY:2.7%   
     4.5679e-8    8.365e-10       261.99        7.005  # 1975,F.Widder            ## 20437007  #dY:2.7%   
     4.8019e-8    9.035e-10       253.79        6.121  # 1975,F.Widder            ## 20437007  #dY:2.4%   
     5.0543e-8     9.77e-10       245.65        5.881  # 1975,F.Widder            ## 20437007  #dY:2.4%   
     5.3272e-8     1.059e-9       237.57        5.523  # 1975,F.Widder            ## 20437007  #dY:2.3%   
      5.355e-8            0        232.8        11.56  # 2018,J.Lee+              ## 23416003  #dY:5.0%   
     5.6228e-8    1.1505e-9       229.54        5.193  # 1975,F.Widder            ## 20437007  #dY:2.3%   
     5.9437e-8     1.252e-9       221.58        4.921  # 1975,F.Widder            ## 20437007  #dY:2.2%   
     6.2928e-8     1.366e-9       213.67        4.831  # 1975,F.Widder            ## 20437007  #dY:2.3%   
     6.5844e-8     6.85e-10        207.6        4.721  # 1975,F.Widder            ## 20437007  #dY:2.3%   
     6.7838e-8     7.18e-10        203.7        4.572  # 1975,F.Widder            ## 20437007  #dY:2.2%   
      6.875e-8            0        204.3        9.848  # 2018,J.Lee+              ## 23416003  #dY:4.8%   
     6.9924e-8    7.525e-10       199.81        4.387  # 1975,F.Widder            ## 20437007  #dY:2.2%   
     7.2108e-8      7.9e-10       195.94        4.234  # 1975,F.Widder            ## 20437007  #dY:2.2%   
     7.4396e-8    8.295e-10       192.08        4.112  # 1975,F.Widder            ## 20437007  #dY:2.1%   
     7.6794e-8    8.715e-10       188.24        4.003  # 1975,F.Widder            ## 20437007  #dY:2.1%   
     7.9311e-8     9.17e-10       184.42        3.896  # 1975,F.Widder            ## 20437007  #dY:2.1%   
     8.1953e-8     9.65e-10       180.61        3.819  # 1975,F.Widder            ## 20437007  #dY:2.1%   
     8.4729e-8    1.0165e-9       176.82        3.777  # 1975,F.Widder            ## 20437007  #dY:2.1%   
     8.7649e-8     1.072e-9       173.05        3.733  # 1975,F.Widder            ## 20437007  #dY:2.2%   
      8.828e-8            0          171        8.532  # 2018,J.Lee+              ## 23416003  #dY:5.0%   
     9.0722e-8     1.131e-9        169.3        3.658  # 1975,F.Widder            ## 20437007  #dY:2.2%   
      9.396e-8     1.195e-9       165.57        3.525  # 1975,F.Widder            ## 20437007  #dY:2.1%   
     9.7375e-8     1.263e-9       161.85         3.37  # 1975,F.Widder            ## 20437007  #dY:2.1%   
     1.0098e-7     1.337e-9       158.14        3.303  # 1975,F.Widder            ## 20437007  #dY:2.1%   
     1.0479e-7    1.4165e-9       154.47        3.333  # 1975,F.Widder            ## 20437007  #dY:2.2%   
     1.0881e-7     1.502e-9        150.8        3.341  # 1975,F.Widder            ## 20437007  #dY:2.2%   
     1.1308e-7    1.5945e-9       147.16        3.249  # 1975,F.Widder            ## 20437007  #dY:2.2%   
      1.134e-7            0        155.5        8.119  # 2018,J.Lee+              ## 23416003  #dY:5.2%   
      1.176e-7    1.6945e-9       143.53         3.16  # 1975,F.Widder            ## 20437007  #dY:2.2%   
     1.2239e-7     1.803e-9       139.93        3.096  # 1975,F.Widder            ## 20437007  #dY:2.2%   
     1.2749e-7     1.921e-9       136.34        3.002  # 1975,F.Widder            ## 20437007  #dY:2.2%   
     1.3291e-7    2.0485e-9       132.77        2.924  # 1975,F.Widder            ## 20437007  #dY:2.2%   
     1.3868e-7     2.188e-9       129.24        3.015  # 1975,F.Widder            ## 20437007  #dY:2.3%   
     1.4484e-7      2.34e-9       125.71        3.032  # 1975,F.Widder            ## 20437007  #dY:2.4%   
      1.456e-7            0          133        10.66  # 2018,J.Lee+              ## 23416003  #dY:8.0%   
     1.5142e-7    2.5065e-9       122.21        2.897  # 1975,F.Widder            ## 20437007  #dY:2.4%   
     1.5846e-7     2.688e-9       118.72        2.962  # 1975,F.Widder            ## 20437007  #dY:2.5%   
       1.66e-7     2.888e-9       115.26        2.874  # 1975,F.Widder            ## 20437007  #dY:2.5%   
     1.7409e-7     3.107e-9       111.83        2.644  # 1975,F.Widder            ## 20437007  #dY:2.4%   
     1.8278e-7    3.3485e-9       108.41        2.482  # 1975,F.Widder            ## 20437007  #dY:2.3%   
      1.869e-7            0        113.7        8.576  # 2018,J.Lee+              ## 23416003  #dY:7.5%   
     1.9215e-7     3.616e-9       105.02        2.389  # 1975,F.Widder            ## 20437007  #dY:2.3%   
     2.0225e-7     3.911e-9       101.65        2.204  # 1975,F.Widder            ## 20437007  #dY:2.2%   
     2.1317e-7     4.239e-9       98.305        2.192  # 1975,F.Widder            ## 20437007  #dY:2.2%   
       2.25e-7     4.604e-9       94.983        2.209  # 1975,F.Widder            ## 20437007  #dY:2.3%   
     2.3784e-7      5.01e-9       91.688        2.213  # 1975,F.Widder            ## 20437007  #dY:2.4%   
        2.4e-7            0        99.19          8.5  # 2018,J.Lee+              ## 23416003  #dY:8.6%   
     2.5181e-7     5.465e-9       88.416        2.289  # 1975,F.Widder            ## 20437007  #dY:2.6%   
     2.6349e-7     2.742e-9       85.904         2.47  # 1975,F.Widder            ## 20437007  #dY:2.9%   
     2.7147e-7    2.8735e-9       84.288        2.645  # 1975,F.Widder            ## 20437007  #dY:3.1%   
     2.7982e-7     3.013e-9       82.678        2.807  # 1975,F.Widder            ## 20437007  #dY:3.4%   
     2.8856e-7    3.1615e-9       81.076        3.033  # 1975,F.Widder            ## 20437007  #dY:3.7%   
     2.9772e-7      3.32e-9        79.48        2.856  # 1975,F.Widder            ## 20437007  #dY:3.6%   
     3.0732e-7     3.489e-9       77.891        2.954  # 1975,F.Widder            ## 20437007  #dY:3.8%   
      3.081e-7            0        82.44        7.358  # 2018,J.Lee+              ## 23416003  #dY:8.9%   
     3.1739e-7    3.6695e-9       76.309        3.124  # 1975,F.Widder            ## 20437007  #dY:4.1%   
     3.2796e-7    3.8625e-9       74.734        3.197  # 1975,F.Widder            ## 20437007  #dY:4.3%   
     3.3908e-7    4.0695e-9       73.166        3.383  # 1975,F.Widder            ## 20437007  #dY:4.6%   
     3.5076e-7    4.2905e-9       71.651        3.612  # 1975,F.Widder            ## 20437007  #dY:5.0%   
     3.6307e-7     4.528e-9       70.088        3.716  # 1975,F.Widder            ## 20437007  #dY:5.3%   
     3.7603e-7     4.783e-9       68.476        3.828  # 1975,F.Widder            ## 20437007  #dY:5.6%   
      3.897e-7     5.055e-9       66.888        4.462  # 1975,F.Widder            ## 20437007  #dY:6.7%   
      3.957e-7            0        71.29        5.885  # 2018,J.Lee+              ## 23416003  #dY:8.3%   
     4.0412e-7      5.35e-9       65.324         5.49  # 1975,F.Widder            ## 20437007  #dY:8.4%   
     4.1937e-7      5.67e-9       63.784         6.79  # 1975,F.Widder            ## 20437007  #dY:10.6%  
     4.3549e-7     6.015e-9       62.269         9.44  # 1975,F.Widder            ## 20437007  #dY:15.2%  
     4.5256e-7     6.385e-9       60.777        12.92  # 1975,F.Widder            ## 20437007  #dY:21.3%  
     4.7065e-7     6.785e-9        59.31         11.8  # 1975,F.Widder            ## 20437007  #dY:19.9%  
     4.8985e-7      7.22e-9       57.868        7.869  # 1975,F.Widder            ## 20437007  #dY:13.6%  
       5.08e-7            0        63.09        5.349  # 2018,J.Lee+              ## 23416003  #dY:8.5%   
     5.1025e-7      7.69e-9       56.452        6.902  # 1975,F.Widder            ## 20437007  #dY:12.2%  
     5.3196e-7     8.205e-9       55.061        5.289  # 1975,F.Widder            ## 20437007  #dY:9.6%   
     5.5507e-7      8.76e-9       53.697        3.742  # 1975,F.Widder            ## 20437007  #dY:7.0%   
     5.7973e-7      9.37e-9       52.362        2.693  # 1975,F.Widder            ## 20437007  #dY:5.1%   
     6.0607e-7    1.0035e-8       51.057        1.987  # 1975,F.Widder            ## 20437007  #dY:3.9%   
     6.3424e-7    1.0765e-8       49.784        1.613  # 1975,F.Widder            ## 20437007  #dY:3.2%   
      6.523e-7            0         49.7        6.527  # 2018,J.Lee+              ## 23416003  #dY:13.1%  
     6.6442e-7    1.1565e-8       48.546        1.441  # 1975,F.Widder            ## 20437007  #dY:3.0%   
     6.9681e-7     1.244e-8       47.349        1.281  # 1975,F.Widder            ## 20437007  #dY:2.7%   
     7.3163e-7     1.341e-8       46.199        1.294  # 1975,F.Widder            ## 20437007  #dY:2.8%   
     7.6913e-7     1.448e-8       45.102        1.534  # 1975,F.Widder            ## 20437007  #dY:3.4%   
     8.0958e-7     1.566e-8       44.073         1.53  # 1975,F.Widder            ## 20437007  #dY:3.5%   
      8.376e-7            0        48.81        6.654  # 2018,J.Lee+              ## 23416003  #dY:13.6%  
        8.5e-7            0           61            0  # 1964,V.A.Konks+          ## 40819005             
     8.5331e-7    1.6975e-8       43.127        1.659  # 1975,F.Widder            ## 20437007  #dY:3.8%   
     9.0069e-7    1.8435e-8       42.289        1.266  # 1975,F.Widder            ## 20437007  #dY:3.0%   
     9.5212e-7     2.007e-8       41.597         1.35  # 1975,F.Widder            ## 20437007  #dY:3.2%   
          1e-6            0           58            4  # 1964,V.A.Konks+          ## 40819005  #dY:6.9%   
     1.0081e-6    2.1895e-8       41.109        1.328  # 1975,F.Widder            ## 20437007  #dY:3.2%   
     1.0691e-6    2.3945e-8       40.916        2.074  # 1975,F.Widder            ## 20437007  #dY:5.1%   
      1.075e-6            0        50.52        6.026  # 2018,J.Lee+              ## 23416003  #dY:11.9%  
     1.1359e-6    2.6255e-8       41.179          1.7  # 1975,F.Widder            ## 20437007  #dY:4.1%   
     1.2091e-6    2.8865e-8       42.186         1.51  # 1975,F.Widder            ## 20437007  #dY:3.6%   
       1.25e-6            0           82            0  # 1964,V.A.Konks+          ## 40819005             
     1.2896e-6     3.183e-8       44.524        1.514  # 1975,F.Widder            ## 20437007  #dY:3.4%   
     1.3785e-6     3.521e-8       49.565         1.26  # 1975,F.Widder            ## 20437007  #dY:2.5%   
      1.381e-6            0        68.53         6.76  # 2018,J.Lee+              ## 23416003  #dY:9.9%   
     1.4163e-6      9.92e-9       53.015        1.412  # 1975,F.Widder            ## 20437007  #dY:2.7%   
      1.441e-6    1.0215e-8       55.908        1.538  # 1975,F.Widder            ## 20437007  #dY:2.8%   
       1.46e-6            0          105            0  # 1964,V.A.Konks+          ## 40819005             
     1.4663e-6     1.052e-8       59.596        1.682  # 1975,F.Widder            ## 20437007  #dY:2.8%   
     1.4922e-6    1.0835e-8       64.398        1.844  # 1975,F.Widder            ## 20437007  #dY:2.9%   
     1.5189e-6    1.1165e-8       70.831        2.009  # 1975,F.Widder            ## 20437007  #dY:2.8%   
     1.5462e-6    1.1505e-8       79.778        2.246  # 1975,F.Widder            ## 20437007  #dY:2.8%   
       1.57e-6            0          122            0  # 1964,V.A.Konks+          ## 40819005             
     1.5744e-6    1.1855e-8       92.869        2.746  # 1975,F.Widder            ## 20437007  #dY:3.0%   
      1.578e-6            0        80.33        27.26  # 2018,J.Lee+              ## 23416003  #dY:33.9%  
      1.593e-6            0        130.3        29.24  # 2018,J.Lee+              ## 23416003  #dY:22.4%  
     1.6033e-6    1.2225e-8       112.22        3.325  # 1975,F.Widder            ## 20437007  #dY:3.0%   
      1.609e-6            0        142.1         28.6  # 2018,J.Lee+              ## 23416003  #dY:20.1%  
     1.6153e-6     1.238e-8       125.29        3.635  # 1975,F.Widder            ## 20437007  #dY:2.9%   
      1.624e-6            0        115.3         29.4  # 2018,J.Lee+              ## 23416003  #dY:25.5%  
      1.633e-6    1.2605e-8       150.87        4.301  # 1975,F.Widder            ## 20437007  #dY:2.9%   
       1.64e-6            0        167.4        28.44  # 2018,J.Lee+              ## 23416003  #dY:17.0%  
      1.656e-6            0        209.6        31.25  # 2018,J.Lee+              ## 23416003  #dY:14.9%  
     1.6635e-6       1.3e-8       214.44        6.617  # 1975,F.Widder            ## 20437007  #dY:3.1%   
      1.673e-6            0        288.5        34.42  # 2018,J.Lee+              ## 23416003  #dY:11.9%  
     1.6762e-6     1.317e-8       251.84        7.835  # 1975,F.Widder            ## 20437007  #dY:3.1%   
      1.689e-6            0        328.5        36.16  # 2018,J.Lee+              ## 23416003  #dY:11.0%  
     1.6949e-6    1.3415e-8       311.94        9.858  # 1975,F.Widder            ## 20437007  #dY:3.2%   
        1.7e-6            0          155            0  # 1964,V.A.Konks+          ## 40819005             
      1.716e-6            0        391.5         28.8  # 2018,J.Lee+              ## 23416003  #dY:7.4%   
     1.7272e-6    1.3845e-8       412.65        14.17  # 1975,F.Widder            ## 20437007  #dY:3.4%   
      1.753e-6            0        332.7        27.63  # 2018,J.Lee+              ## 23416003  #dY:8.3%   
     1.7604e-6     1.429e-8       338.63        12.78  # 1975,F.Widder            ## 20437007  #dY:3.8%   
      1.792e-6            0          230        22.86  # 2018,J.Lee+              ## 23416003  #dY:9.9%   
     1.7946e-6    1.4755e-8       236.08        8.304  # 1975,F.Widder            ## 20437007  #dY:3.5%   
        1.8e-6            0          190            0  # 1964,V.A.Konks+          ## 40819005             
     1.8298e-6    1.5235e-8       166.42        6.547  # 1975,F.Widder            ## 20437007  #dY:3.9%   
      1.832e-6            0        164.5         20.5  # 2018,J.Lee+              ## 23416003  #dY:12.5%  
      1.866e-6     1.574e-8       129.95        5.082  # 1975,F.Widder            ## 20437007  #dY:3.9%   
      1.873e-6            0        126.3        19.67  # 2018,J.Lee+              ## 23416003  #dY:15.6%  
        1.9e-6            0          230            0  # 1964,V.A.Konks+          ## 40819005             
     1.9033e-6     1.626e-8       112.95        4.821  # 1975,F.Widder            ## 20437007  #dY:4.3%   
      1.916e-6            0        108.6        18.64  # 2018,J.Lee+              ## 23416003  #dY:17.2%  
     1.9418e-6     1.681e-8       107.39        5.402  # 1975,F.Widder            ## 20437007  #dY:5.0%   
       1.96e-6            0        129.3        19.23  # 2018,J.Lee+              ## 23416003  #dY:14.9%  
     1.9814e-6    1.7375e-8       109.65        5.571  # 1975,F.Widder            ## 20437007  #dY:5.1%   
          2e-6            0          290            0  # 1964,V.A.Konks+          ## 40819005             
      2.005e-6            0        116.3        19.54  # 2018,J.Lee+              ## 23416003  #dY:16.8%  
     2.0223e-6     1.797e-8       118.59        5.549  # 1975,F.Widder            ## 20437007  #dY:4.7%   
      2.052e-6            0        167.1        19.55  # 2018,J.Lee+              ## 23416003  #dY:11.7%  
     2.0644e-6     1.859e-8       134.69        6.376  # 1975,F.Widder            ## 20437007  #dY:4.7%   
        2.1e-6            0          350            0  # 1964,V.A.Konks+          ## 40819005             
      2.101e-6            0        173.1        20.09  # 2018,J.Lee+              ## 23416003  #dY:11.6%  
     2.1079e-6    1.9235e-8       160.21        7.356  # 1975,F.Widder            ## 20437007  #dY:4.6%   
      2.152e-6            0          238        21.66  # 2018,J.Lee+              ## 23416003  #dY:9.1%   
     2.1527e-6     1.991e-8       199.89         9.12  # 1975,F.Widder            ## 20437007  #dY:4.6%   
      2.199e-6    2.0615e-8       263.76        11.73  # 1975,F.Widder            ## 20437007  #dY:4.4%   
      2.204e-6            0        301.4        24.11  # 2018,J.Lee+              ## 23416003  #dY:8.0%   
      2.244e-6            0        416.9        33.79  # 2018,J.Lee+              ## 23416003  #dY:8.1%   
     2.2468e-6     2.135e-8       373.11        15.92  # 1975,F.Widder            ## 20437007  #dY:4.3%   
      2.272e-6            0        581.9        41.49  # 2018,J.Lee+              ## 23416003  #dY:7.1%   
     2.2962e-6     2.212e-8       581.37        24.74  # 1975,F.Widder            ## 20437007  #dY:4.3%   
        2.3e-6            0          430            0  # 1964,V.A.Konks+          ## 40819005             
      2.302e-6            0        700.1        46.28  # 2018,J.Lee+              ## 23416003  #dY:6.6%   
      2.331e-6            0         1035        62.55  # 2018,J.Lee+              ## 23416003  #dY:6.0%   
     2.3473e-6    2.2925e-8       1042.6        56.82  # 1975,F.Widder            ## 20437007  #dY:5.4%   
      2.358e-6            0         1578         87.1  # 2018,J.Lee+              ## 23416003  #dY:5.5%   
      2.388e-6            0         2338        122.1  # 2018,J.Lee+              ## 23416003  #dY:5.2%   
        2.4e-6    2.3765e-8       2262.4        143.8  # 1975,F.Widder            ## 20437007  #dY:6.4%   
      2.421e-6            0         3401        171.9  # 2018,J.Lee+              ## 23416003  #dY:5.1%   
      2.452e-6            0         3739        191.8  # 2018,J.Lee+              ## 23416003  #dY:5.1%   
     2.4546e-6    2.4645e-8       5328.3        791.8  # 1975,F.Widder            ## 20437007  #dY:14.9%  
      2.477e-6     2.501e-8       5251.4        652.7  # 1975,F.Widder            ## 20437007  #dY:12.4%  
      2.481e-6            0         3469        181.4  # 2018,J.Lee+              ## 23416003  #dY:5.2%   
     2.4993e-6    2.5375e-8       3807.3        342.4  # 1975,F.Widder            ## 20437007  #dY:9.0%   
        2.5e-6            0          500            0  # 1964,V.A.Konks+          ## 40819005             
      2.511e-6      9.91e-9       3151.4          239  # 1975,F.Widder            ## 20437007  #dY:7.6%   
      2.513e-6            0         2707        137.3  # 2018,J.Lee+              ## 23416003  #dY:5.1%   
     2.5281e-6     1.002e-8       2499.4          163  # 1975,F.Widder            ## 20437007  #dY:6.5%   
      2.546e-6            0         1698        91.06  # 2018,J.Lee+              ## 23416003  #dY:5.4%   
     2.5573e-6     1.021e-8       1535.9        84.04  # 1975,F.Widder            ## 20437007  #dY:5.5%   
     2.5694e-6     1.029e-8       1212.8        63.15  # 1975,F.Widder            ## 20437007  #dY:5.2%   
       2.58e-6            0        982.9        55.78  # 2018,J.Lee+              ## 23416003  #dY:5.7%   
     2.5871e-6     1.041e-8        928.3        45.39  # 1975,F.Widder            ## 20437007  #dY:4.9%   
      2.616e-6            0        682.5        42.21  # 2018,J.Lee+              ## 23416003  #dY:6.2%   
     2.6174e-6     1.061e-8       650.54         29.2  # 1975,F.Widder            ## 20437007  #dY:4.5%   
     2.6299e-6    1.0695e-8       588.13        25.75  # 1975,F.Widder            ## 20437007  #dY:4.4%   
     2.6482e-6     1.082e-8       489.71        21.66  # 1975,F.Widder            ## 20437007  #dY:4.4%   
      2.651e-6            0        485.8         37.3  # 2018,J.Lee+              ## 23416003  #dY:7.7%   
     2.6795e-6     1.103e-8       382.18        17.07  # 1975,F.Widder            ## 20437007  #dY:4.5%   
      2.684e-6            0        356.9        31.62  # 2018,J.Lee+              ## 23416003  #dY:8.9%   
     2.6925e-6     1.112e-8       353.44        15.53  # 1975,F.Widder            ## 20437007  #dY:4.4%   
     2.7115e-6    1.1255e-8       309.28        11.93  # 1975,F.Widder            ## 20437007  #dY:3.9%   
      2.721e-6            0        277.6        25.99  # 2018,J.Lee+              ## 23416003  #dY:9.4%   
      2.744e-6     1.148e-8       256.68        8.018  # 1975,F.Widder            ## 20437007  #dY:3.1%   
     2.7574e-6    1.1575e-8       241.26        7.087  # 1975,F.Widder            ## 20437007  #dY:2.9%   
      2.777e-6     1.171e-8        220.4        6.325  # 1975,F.Widder            ## 20437007  #dY:2.9%   
      2.778e-6            0        205.1         19.4  # 2018,J.Lee+              ## 23416003  #dY:9.5%   
     2.8107e-6    1.1955e-8       193.86        5.569  # 1975,F.Widder            ## 20437007  #dY:2.9%   
     2.8246e-6     1.205e-8       185.83        5.392  # 1975,F.Widder            ## 20437007  #dY:2.9%   
      2.837e-6            0        155.4        23.85  # 2018,J.Lee+              ## 23416003  #dY:15.3%  
      2.845e-6      1.22e-8       175.55        5.141  # 1975,F.Widder            ## 20437007  #dY:2.9%   
      2.879e-6            0        161.4        23.08  # 2018,J.Lee+              ## 23416003  #dY:14.3%  
       2.88e-6    1.2455e-8       164.45        4.934  # 1975,F.Widder            ## 20437007  #dY:3.0%   
     2.8944e-6     1.256e-8       162.08        4.921  # 1975,F.Widder            ## 20437007  #dY:3.0%   
     2.9155e-6    1.2715e-8       160.11        4.944  # 1975,F.Widder            ## 20437007  #dY:3.1%   
      2.922e-6            0        211.2        23.36  # 2018,J.Lee+              ## 23416003  #dY:11.1%  
     2.9518e-6    1.2985e-8       162.99        5.169  # 1975,F.Widder            ## 20437007  #dY:3.2%   
      2.966e-6            0        198.4        23.95  # 2018,J.Lee+              ## 23416003  #dY:12.1%  
     2.9668e-6    1.3095e-8       166.62        5.328  # 1975,F.Widder            ## 20437007  #dY:3.2%   
